date,state,cases,deaths
25.01.20,California,1,0
26.01.20,California,1,0
27.01.20,California,0,0
28.01.20,California,0,0
29.01.20,California,0,0
30.01.20,California,0,0
31.01.20,California,1,0
01.02.20,California,0,0
02.02.20,California,3,0
03.02.20,California,0,0
04.02.20,California,0,0
05.02.20,California,0,0
06.02.20,California,0,0
07.02.20,California,0,0
08.02.20,California,0,0
09.02.20,California,0,0
10.02.20,California,1,0
11.02.20,California,0,0
12.02.20,California,0,0
13.02.20,California,0,0
14.02.20,California,0,0
15.02.20,California,0,0
16.02.20,California,0,0
17.02.20,California,0,0
18.02.20,California,0,0
19.02.20,California,0,0
20.02.20,California,1,0
21.02.20,California,1,0
22.02.20,California,0,0
23.02.20,California,0,0
24.02.20,California,2,0
25.02.20,California,0,0
26.02.20,California,15,0
27.02.20,California,0,0
28.02.20,California,1,0
29.02.20,California,1,0
01.03.20,California,5,0
02.03.20,California,5,0
03.03.20,California,7,0
04.03.20,California,10,1
05.03.20,California,12,0
06.03.20,California,14,0
07.03.20,California,19,0
08.03.20,California,12,0
09.03.20,California,60,1
10.03.20,California,7,1
11.03.20,California,23,1
12.03.20,California,50,0
13.03.20,California,68,1
14.03.20,California,61,0
15.03.20,California,97,1
16.03.20,California,110,5
17.03.20,California,144,3
18.03.20,California,161,3
19.03.20,California,174,2
20.03.20,California,216,5
21.03.20,California,261,4
22.03.20,California,307,7
23.03.20,California,389,4
24.03.20,California,404,13
25.03.20,California,539,16
26.03.20,California,877,15
27.03.20,California,855,21
28.03.20,California,651,18
29.03.20,California,755,10
30.03.20,California,1100,15
31.03.20,California,1162,37
01.04.20,California,1274,28
02.04.20,California,1333,35
03.04.20,California,1379,35
04.04.20,California,1227,41
05.04.20,California,1406,28
06.04.20,California,1159,35
07.04.20,California,1179,61
08.04.20,California,1503,59
09.04.20,California,1148,42
10.04.20,California,1175,46
11.04.20,California,1055,38
12.04.20,California,902,44
13.04.20,California,1011,49
14.04.20,California,1424,53
15.04.20,California,1349,107
16.04.20,California,1035,86
17.04.20,California,1256,79
18.04.20,California,1431,96
19.04.20,California,715,30
20.04.20,California,2318,47
21.04.20,California,1982,93
22.04.20,California,1729,109
23.04.20,California,1961,123
24.04.20,California,1834,71
25.04.20,California,1222,73
26.04.20,California,1101,24
27.04.20,California,1517,84
28.04.20,California,1362,84
29.04.20,California,2334,77
30.04.20,California,1566,96
01.05.20,California,1848,90
02.05.20,California,1435,66
03.05.20,California,1319,22
04.05.20,California,1261,62
05.05.20,California,2515,89
06.05.20,California,1939,92
07.05.20,California,1694,83
08.05.20,California,2135,89
09.05.20,California,2208,82
10.05.20,California,1227,37
11.05.20,California,1463,51
12.05.20,California,1636,82
13.05.20,California,2068,112
14.05.20,California,1729,25
15.05.20,California,2068,153
16.05.20,California,1918,62
17.05.20,California,1433,36
18.05.20,California,1577,32
19.05.20,California,2038,100
20.05.20,California,2144,92
21.05.20,California,2363,110
22.05.20,California,2313,66
23.05.20,California,2014,78
24.05.20,California,1928,22
25.05.20,California,2274,18
26.05.20,California,2907,51
27.05.20,California,1949,102
28.05.20,California,2198,81
29.05.20,California,2972,102
30.05.20,California,3057,70
31.05.20,California,3014,28
01.06.20,California,2529,45
02.06.20,California,2438,73
03.06.20,California,2326,62
04.06.20,California,2510,62
05.06.20,California,3593,66
06.06.20,California,2637,76
07.06.20,California,2850,27
08.06.20,California,2290,26
09.06.20,California,2958,96
10.06.20,California,2894,94
11.06.20,California,3570,72
12.06.20,California,3576,45
13.06.20,California,3149,73
14.06.20,California,2519,30
15.06.20,California,2709,31
16.06.20,California,3469,82
17.06.20,California,4250,81
18.06.20,California,3754,76
19.06.20,California,3708,66
20.06.20,California,4011,70
21.06.20,California,3953,22
22.06.20,California,5813,44
23.06.20,California,6419,76
24.06.20,California,4850,91
25.06.20,California,5524,82
26.06.20,California,5614,62
27.06.20,California,4426,30
28.06.20,California,5502,35
29.06.20,California,7040,42
30.06.20,California,8158,104
01.07.20,California,7611,85
02.07.20,California,8434,95
03.07.20,California,8100,52
04.07.20,California,8878,14
05.07.20,California,6411,40
06.07.20,California,6282,83
07.07.20,California,9897,111
08.07.20,California,8538,145
09.07.20,California,7212,117
10.07.20,California,7989,111
11.07.20,California,8525,76
12.07.20,California,7646,30
13.07.20,California,8530,44
14.07.20,California,10387,141
15.07.20,California,8904,141
16.07.20,California,9264,122
17.07.20,California,10161,117
18.07.20,California,8272,90
